"","source","species","order","harass.","nup_gift.","lifetime.","bias.","treatment","experiment","study","con_N","exp_N","adjusted_con_N","con_long","con_long_SD","exp_long","exp_long_SD"
"1","Abdel-Khalek and Fahim (2018)","Amblyseius largoensis","Mesostigmata","n","n","y","n","once_twice",1,1,15,15,7.5,30.07,1.394,27.67,1.12
"2","Abdel-Khalek and Fahim (2018)","Amblyseius largoensis","Mesostigmata","n","n","y","n","once_thrice",1,1,15,15,7.5,30.07,1.394,28.87,0.85
"3","Adam, Yanik and Achiri (2018)","Anthocoris minki","Hemiptera","n","n","y","n","once_twice",1,2,10,10,3.33,41.8,1.49,43.1,1.96
"4","Adam, Yanik and Achiri (2018)","Anthocoris minki","Hemiptera","n","n","y","n","once_thrice",1,2,10,10,3.33,41.8,1.49,39.6,1.64
"5","Adam, Yanik and Achiri (2018)","Anthocoris minki","Hemiptera","n","n","y","n","once_four",1,2,10,10,3.33,41.8,1.49,32.8,0.19
"6","Adam, Yanik and Achiri (2018)","Anthocoris minki","Hemiptera","y","n","y","n","once_three",2,2,16,16,8,89.6,1.56,90.2,0.96
"7","Adam, Yanik and Achiri (2018)","Anthocoris minki","Hemiptera","y","n","y","n","once_five",2,2,16,16,8,89.6,4.56,91.4,0.19
"8","Azrag et al. (2021)","Thaumatotibia leucotreta","Lepidoptera","y","y","y","n","once_many",1,6,37,30,37,17.41,4.93,14.23,5.04
"9","Backhouse, Sait and Cameron (2012)","Xylocoris flavipes","Hemiptera","n","n","y","n","once_thrice",1,7,21,21,21,15.57,2.04,11.9,3.12
"10","Barnes et al. (2008)","Drosophila melanogaster","Diptera","y","n","y","n","few_many",1,8,70,70,70,31.4,NA,23.6,NA
"11","Benoit, Jajack and Yoder (2012)","Cimex lectularius","Hemiptera","n","n","y","n","once_five",1,10,45,45,15,16.8,11.4,16.2,12.08
"12","Benoit, Jajack and Yoder (2012)","Cimex lectularius","Hemiptera","n","n","y","n","once_ten",1,10,45,45,15,16.8,11.4,15.1,10.73
"13","Benoit, Jajack and Yoder (2012)","Cimex lectularius","Hemiptera","n","n","y","n","once_twenty",1,10,45,45,15,16.8,11.4,13.2,9.39
"14","Benoit, Jajack and Yoder (2012)","Cimex lectularius","Hemiptera","n","n","y","n","once_five",2,10,45,45,15,69.2,29.52,62.2,34.21
"15","Benoit, Jajack and Yoder (2012)","Cimex lectularius","Hemiptera","n","n","y","n","once_ten",2,10,45,45,15,69.2,29.52,54.5,28.85
"16","Benoit, Jajack and Yoder (2012)","Cimex lectularius","Hemiptera","n","n","y","n","once_twenty",2,10,45,45,15,69.2,29.52,50.4,31.53
"17","Bergstrom and Wiklund (2002)","Pieris napi","Lepidoptera","y","y","y","y","once_twice",1,11,50,40,50,14.9,5,16.3,5.7
"18","Bergstrom and Wiklund (2002)","Pieris napi","Lepidoptera","y","y","y","y","once_twice",2,11,49,51,49,14.6,4.9,16.4,5
"19","Blanckenhorn et al. (2002)","Sepsis cynipsea","Diptera","n","n","y","n","once_twice",1,13,49,30,49,5.15,NA,4.63,NA
"20","Boulton and Shuker (2015)","Nasonia vitripennis","Hymenoptera","n","n","y","n","once_five",3,14,39,39,19.5,7.33,NA,7.23,NA
"21","Boulton and Shuker (2015)","Nasonia vitripennis","Hymenoptera","n","n","y","n","once_ten",3,14,39,39,19.5,7.33,NA,6.42,NA
"22","Callado-Galindo et al. (2013)","Copitarsia decolora","Lepidoptera","y","y","y","y","once_twice",1,16,15,5,15,15,2.35,22,3.21
"23","Campbell (2005)","Sitophilus oryzae","Coleoptera","y","n","y","n","once_five",1,17,8,8,8,140,45.25,52,28.28
"24","Castrezana et al. (2017)","Drosophila melanogaster","Diptera","y","n","y","n","once_many",1,18,30,30,30,45.7,12.5,25,7.6
"25","Chapman and Partridge (1996)","Drosophila melanogaster","Diptera","y","n","y","n","few_many",1,20,35,35,35,14,NA,14,NA
"26","Chapman and Partridge (1996)","Drosophila melanogaster","Diptera","y","n","y","n","few_many",2,20,35,35,35,16,NA,21,NA
"27","Chapman and Partridge (1996)","Drosophila melanogaster","Diptera","y","n","y","n","few_many",3,20,35,35,35,37,NA,30,NA
"28","Chapman and Partridge (1996)","Drosophila melanogaster","Diptera","y","n","y","n","few_many",4,20,35,35,35,33,NA,26,NA
"29","Chapman and Partridge (1996)","Drosophila melanogaster","Diptera","y","n","y","n","few_many",5,20,35,35,35,31,NA,18,NA
"30","Chen et al. (2023)","Bactrocera dorsalis","Diptera","y","n","y","n","once_many",1,22,19,21,9.5,57,11.77,68.81,27.36
"31","Chen et al. (2023)","Bactrocera dorsalis","Diptera","n","y","y","y","once_twice",2,22,19,27,9.5,57,11.77,57.44,2.12
"32","Cook (1999)","Plodia interpunctella","Lepidoptera","n","y","y","y","once_twice",1,25,26,18,26,9.33,1.8,9.94,3.4
"33","Cook (1999)","Plodia interpunctella","Lepidoptera","n","y","y","y","once_twice",2,25,25,20,25,9.41,2.2,9.27,2.1
"34","Croshaw and Gomez (2018)","Drosophila arizonae","Diptera","n","n","y","n","once_few",1,27,24,28,24,40.1,14.65,43.44,10.58
"35","de Morais et al. (2012)","Grapholita molesta","Lepidoptera","n","y","y","y","once_few",1,28,23,11,23,12.3,5.56,14,7.5
