source,species,order,harass?,nup_gift?,lifetime?,bias?,treatment,experiment,study,con_N,exp_N,adjusted_con_N,con_long,con_long_SD,exp_long,exp_long_SD,con_fecund,con_fecund_SD,exp_fecund,exp_fecund_SD,con_fert,con_fert_SD,exp_fert,exp_fert_SD
Abdel-Khalek and Fahim (2018),Amblyseius largoensis,Mesostigmata,n,n,y,n,once_twice,1,1,15,15,7.5,30.07,1.394,27.67,1.12,23.67,1.162,30,0.85,NA,NA,NA,NA
Abdel-Khalek and Fahim (2018),Amblyseius largoensis,Mesostigmata,n,n,y,n,once_thrice,1,1,15,15,7.5,30.07,1.394,28.87,0.85,23.67,1.162,36.67,1.007,NA,NA,NA,NA
"Adam, Yanik and Achiri (2018)",Anthocoris minki,Hemiptera,n,n,y,n,once_twice,1,2,10,10,3.33,41.8,1.49,43.1,1.96,102.1,2.18,125.1,2.06,NA,NA,NA,NA
"Adam, Yanik and Achiri (2018)",Anthocoris minki,Hemiptera,n,n,y,n,once_thrice,1,2,10,10,3.33,41.8,1.49,39.6,1.64,102.1,2.18,99,1.64,NA,NA,NA,NA
"Adam, Yanik and Achiri (2018)",Anthocoris minki,Hemiptera,n,n,y,n,once_four,1,2,10,10,3.33,41.8,1.49,32.8,0.19,102.1,2.18,61,1.04,NA,NA,NA,NA
"Adam, Yanik and Achiri (2018)",Anthocoris minki,Hemiptera,y,n,y,n,once_three,2,2,16,16,8,89.6,1.56,90.2,0.96,79.6,1.2,52.6,2.84,NA,NA,NA,NA
"Adam, Yanik and Achiri (2018)",Anthocoris minki,Hemiptera,y,n,y,n,once_five,2,2,16,16,8,89.6,4.56,91.4,0.19,79.6,1.2,44,0.96,NA,NA,NA,NA
"Arakawa, Taniai and Maeda (2019)",Orius sauteri,Hemiptera,n,n,y,n,once_three,1,3,23,8,23,NA,NA,NA,NA,42.05,37.5,41.67,34.08,NA,NA,NA,NA
Arnqvist et al (2005),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_twice,1,4,59,59,11.8,NA,NA,NA,NA,NA,NA,NA,NA,84.69,23.88,76.05,19.67
Arnqvist et al (2005),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_twice,1,4,59,59,11.8,NA,NA,NA,NA,NA,NA,NA,NA,84.69,23.88,81.76,19.31
Arnqvist et al (2005),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_thrice,1,4,59,59,11.8,NA,NA,NA,NA,NA,NA,NA,NA,84.69,23.88,86.25,16.5
Arnqvist et al (2005),Callosobruchus maculatus,Coleoptera,n,n,y,n,once_thrice,1,4,59,59,11.8,NA,NA,NA,NA,NA,NA,NA,NA,84.69,23.88,85.97,17.21
